rank,app_name,category,score,access_model,api_breadth,buildability_verdict,main_blocker,confidence,reason
1,Intercom,Support and Helpdesk,11,self_serve_free_or_trial,broad,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
2,Magento (Adobe Commerce),Ecommerce,11,self_serve_free_or_trial,platform_level,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
3,GitHub,"Developer, Infra and Data platforms",11,self_serve_free_or_trial,platform_level,buildable_now,none,high,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
4,Vercel,"Developer, Infra and Data platforms",11,self_serve_free_or_trial,broad,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
5,Netlify,"Developer, Infra and Data platforms",11,self_serve_free_or_trial,broad,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
6,Cloudflare,"Developer, Infra and Data platforms",11,self_serve_free_or_trial,platform_level,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
7,Datadog,"Developer, Infra and Data platforms",11,self_serve_free_or_trial,broad,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
8,Notion,Productivity and Project Management,11,self_serve_free_or_trial,broad,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
9,Airtable,Productivity and Project Management,11,self_serve_free_or_trial,broad,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
10,Asana,Productivity and Project Management,11,self_serve_free_or_trial,broad,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
11,Pipedrive,CRM and Sales,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
12,Attio,CRM and Sales,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
13,Twenty,CRM and Sales,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
14,Podio,CRM and Sales,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
15,Close,CRM and Sales,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
16,Copper,CRM and Sales,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
17,Freshdesk,Support and Helpdesk,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
18,Front,Support and Helpdesk,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
19,Pylon,Support and Helpdesk,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
20,LiveAgent,Support and Helpdesk,10,self_serve_free_or_trial,moderate,buildable_now,none,medium,"Public docs, workable auth, and moderate-or-better API surface make this a first-pass build-now candidate."
