rank,app_name,category,score,access_model,api_breadth,buildability_verdict,main_blocker,confidence,reason
1,Salesforce,CRM and Sales,9,admin_or_workspace_dependent,platform_level,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
2,HubSpot,CRM and Sales,9,admin_or_workspace_dependent,platform_level,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
3,Zoho CRM,CRM and Sales,9,admin_or_workspace_dependent,platform_level,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
4,Zendesk,Support and Helpdesk,9,admin_or_workspace_dependent,broad,buildable_with_caveats,admin_setup_required,high,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
5,Slack,Communications and Messaging,9,admin_or_workspace_dependent,broad,buildable_with_caveats,admin_setup_required,high,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
6,Shopify,Ecommerce,9,admin_or_workspace_dependent,platform_level,buildable_with_caveats,admin_setup_required,high,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
7,BigCommerce,Ecommerce,9,admin_or_workspace_dependent,broad,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
8,Jira,Productivity and Project Management,9,admin_or_workspace_dependent,platform_level,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
9,QuickBooks,Finance and Fintech,9,admin_or_workspace_dependent,broad,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
10,Xero,Finance and Fintech,9,admin_or_workspace_dependent,broad,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
11,Google Ads,"Marketing, Ads, Email and Social",8,partner_or_contact_sales_gated,broad,possible_but_gated,app_review_or_business_verification,high,"API may be useful, but practical toolkit access likely depends on approval, verification, sales, or partnership."
12,Meta Ads,"Marketing, Ads, Email and Social",8,partner_or_contact_sales_gated,broad,possible_but_gated,app_review_or_business_verification,medium,"API may be useful, but practical toolkit access likely depends on approval, verification, sales, or partnership."
13,Amazon Selling Partner,Ecommerce,8,partner_or_contact_sales_gated,broad,possible_but_gated,app_review_or_business_verification,medium,"API may be useful, but practical toolkit access likely depends on approval, verification, sales, or partnership."
14,Snowflake,"Developer, Infra and Data platforms",7,admin_or_workspace_dependent,moderate,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
15,MongoDB Atlas,"Developer, Infra and Data platforms",7,admin_or_workspace_dependent,moderate,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
16,Monday.com,Productivity and Project Management,7,admin_or_workspace_dependent,moderate,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
17,Smartsheet,Productivity and Project Management,7,admin_or_workspace_dependent,moderate,buildable_with_caveats,admin_setup_required,medium,"Technically buildable, but installation and credential setup likely depend on an admin or workspace owner."
18,LinkedIn Ads,"Marketing, Ads, Email and Social",6,partner_or_contact_sales_gated,moderate,possible_but_gated,app_review_or_business_verification,medium,"API may be useful, but practical toolkit access likely depends on approval, verification, sales, or partnership."
19,Salesforce Commerce Cloud,Ecommerce,6,partner_or_contact_sales_gated,moderate,possible_but_gated,app_review_or_business_verification,medium,"API may be useful, but practical toolkit access likely depends on approval, verification, sales, or partnership."
20,NotebookLM,"AI, Research and Media-native",6,partner_or_contact_sales_gated,moderate,possible_but_gated,app_review_or_business_verification,medium,"API may be useful, but practical toolkit access likely depends on approval, verification, sales, or partnership."
