category,total_apps,buildable_now_count,buildable_now_pct,self_serve_count,self_serve_pct,most_common_auth,most_common_blocker,high_confidence,medium_confidence,low_confidence
"AI, Research and Media-native",10,3,30.0,4,40.0,unclear,unclear_access,0,4,6
CRM and Sales,10,6,60.0,7,70.0,OAuth 2.0,none,0,10,0
Communications and Messaging,10,8,80.0,8,80.0,unclear,none,1,8,1
"Data, SEO and Scraping",10,4,40.0,10,100.0,API key / bearer token,none,0,7,3
"Developer, Infra and Data platforms",10,8,80.0,8,80.0,unclear,none,1,9,0
Ecommerce,10,5,50.0,5,50.0,unclear,none,1,8,1
Finance and Fintech,10,4,40.0,6,60.0,unclear,none,0,8,2
"Marketing, Ads, Email and Social",10,6,60.0,6,60.0,OAuth 2.0,none,1,8,1
Productivity and Project Management,10,7,70.0,7,70.0,OAuth 2.0,none,0,10,0
Support and Helpdesk,10,9,90.0,9,90.0,unclear,none,1,9,0
