app_id,app_name,category,sample_reason,field,initial_result,extracted_value,verified_value,issue_found,correction_applied,changed,final_result,record_status
25,Pumble,Communications and Messaging,low_confidence; human_review_flag,one_line_description,correct,"Pumble is a communications platform for messaging, calls, notifications, or collaboration workflows.","Pumble is a communications platform for messaging, calls, notifications, or collaboration workflows.",,,False,verified,flagged
25,Pumble,Communications and Messaging,low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
25,Pumble,Communications and Messaging,low_confidence; human_review_flag,access.model,needs_review,unclear,unclear,Credential access model remains unclear.,,False,needs_review,flagged
25,Pumble,Communications and Messaging,low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
25,Pumble,Communications and Messaging,low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
25,Pumble,Communications and Messaging,low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
37,systeme.io,"Marketing, Ads, Email and Social",low_confidence; human_review_flag,one_line_description,correct,"systeme.io is a marketing, ads, email, or social platform for campaign and audience workflows.","systeme.io is a marketing, ads, email, or social platform for campaign and audience workflows.",,,False,verified,flagged
37,systeme.io,"Marketing, Ads, Email and Social",low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
37,systeme.io,"Marketing, Ads, Email and Social",low_confidence; human_review_flag,access.model,needs_review,unclear,unclear,Credential access model remains unclear.,,False,needs_review,flagged
37,systeme.io,"Marketing, Ads, Email and Social",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
37,systeme.io,"Marketing, Ads, Email and Social",low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
37,systeme.io,"Marketing, Ads, Email and Social",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
50,fanbasis,Ecommerce,low_confidence; human_review_flag,one_line_description,correct,"fanbasis is a ecommerce platform for stores, products, orders, customers, and commerce operations.","fanbasis is a ecommerce platform for stores, products, orders, customers, and commerce operations.",,,False,verified,flagged
50,fanbasis,Ecommerce,low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
50,fanbasis,Ecommerce,low_confidence; human_review_flag,access.model,needs_review,unclear,unclear,Credential access model remains unclear.,,False,needs_review,flagged
50,fanbasis,Ecommerce,low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['Webhooks'],False; none_or_unclear; ['Webhooks'],API surface unresolved.,,False,needs_review,flagged
50,fanbasis,Ecommerce,low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
50,fanbasis,Ecommerce,low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
58,Sherlock,"Data, SEO and Scraping",low_confidence; human_review_flag,one_line_description,correct,"Sherlock is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.","Sherlock is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",,,False,verified,flagged
58,Sherlock,"Data, SEO and Scraping",low_confidence; human_review_flag,auth_methods,partial,No hosted app auth / CLI or open-source usage,No hosted app auth / CLI or open-source usage,Auth method inferred without a dedicated auth docs URL.,,False,verified,flagged
58,Sherlock,"Data, SEO and Scraping",low_confidence; human_review_flag,access.model,partial,self_serve_free_or_trial,self_serve_free_or_trial,Access model inferred from docs presence rather than explicit access/pricing evidence.,,False,verified,flagged
58,Sherlock,"Data, SEO and Scraping",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['REST'],False; none_or_unclear; ['REST'],API surface unresolved.,,False,needs_review,flagged
58,Sherlock,"Data, SEO and Scraping",low_confidence; human_review_flag,mcp.status,partial,none_found,none_found,No MCP URL found in discovery; absence has not been exhaustively proven.,,False,verified,flagged
58,Sherlock,"Data, SEO and Scraping",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
59,Waterfall.io,"Data, SEO and Scraping",low_confidence; human_review_flag,one_line_description,correct,"Waterfall.io is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.","Waterfall.io is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",,,False,verified,flagged
59,Waterfall.io,"Data, SEO and Scraping",low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
59,Waterfall.io,"Data, SEO and Scraping",low_confidence; human_review_flag,access.model,partial,self_serve_paid_plan_required,self_serve_paid_plan_required,Access model inferred from docs presence rather than explicit access/pricing evidence.,,False,verified,flagged
