app_id,app_name,category,what_it_does,auth_methods,primary_auth_for_toolkit,auth_complexity,access_model,access_notes,public_api,api_protocols,api_breadth,api_surface_summary,mcp_status,mcp_url,buildability_verdict,main_blocker,opportunity_score,confidence,confidence_score,verification_status,human_review_required,developer_docs_url,api_docs_url,auth_docs_url,pricing_or_access_url,evidence_urls,notes_short
1,Salesforce,CRM and Sales,"Salesforce is a CRM and sales platform for managing customer records, deals, and revenue workflows.","OAuth 2.0, JWT bearer flow",OAuth 2.0,complex,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, SOAP, Webhooks",platform_level,"First-pass API surface classified as platform_level using discovered REST, SOAP, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://developer.salesforce.com/docs,https://developer.salesforce.com/docs/apis,https://help.salesforce.com/s/articleView?id=sf.remoteaccess_oauth_flows.htm&type=5,https://developer.salesforce.com/signup,https://developer.salesforce.com/docs | https://developer.salesforce.com/docs/apis | https://developer.salesforce.com/signup | https://help.salesforce.com/s/articleView?id=sf.remoteaccess_oauth_flows.htm&type=5 | https://salesforce.com/,buildable_with_caveats; primary blocker is admin_setup_required.
2,HubSpot,CRM and Sales,"HubSpot is a CRM and sales platform for managing customer records, deals, and revenue workflows.","OAuth 2.0, Private app access token",OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, Webhooks",platform_level,"First-pass API surface classified as platform_level using discovered REST, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.72,corrected,unclear,https://developers.hubspot.com/,https://developers.hubspot.com/docs/api/overview,https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication,https://developers.hubspot.com/docs/api/private-apps,https://developers.hubspot.com/ | https://developers.hubspot.com/docs/api/overview | https://developers.hubspot.com/docs/api/private-apps | https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication | https://www.hubspot.com/,buildable_with_caveats; primary blocker is admin_setup_required.
3,Pipedrive,CRM and Sales,"Pipedrive is a CRM and sales platform for managing customer records, deals, and revenue workflows.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.pipedrive.com/docs/api/v1,https://developers.pipedrive.com/docs/api/v1,https://pipedrive.readme.io/docs/marketplace-oauth-authorization,,https://developers.pipedrive.com/docs/api/v1 | https://pipedrive.com/ | https://pipedrive.readme.io/docs/marketplace-oauth-authorization,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
4,Attio,CRM and Sales,"Attio is a CRM and sales platform for managing customer records, deals, and revenue workflows.",Documented auth flow,Documented auth flow,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://docs.attio.com/,https://docs.attio.com/rest-api/overview,https://docs.attio.com/rest-api/authentication,,https://attio.com/ | https://docs.attio.com/ | https://docs.attio.com/rest-api/authentication | https://docs.attio.com/rest-api/overview,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
5,Twenty,CRM and Sales,"Twenty is a CRM and sales platform for managing customer records, deals, and revenue workflows.",Documented auth flow,Documented auth flow,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://twenty.com/developers,https://twenty.com/developers/rest-api,https://twenty.com/developers/section/authentication,,https://twenty.com/ | https://twenty.com/developers | https://twenty.com/developers/rest-api | https://twenty.com/developers/section/authentication,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
6,Podio,CRM and Sales,"Podio is a CRM and sales platform for managing customer records, deals, and revenue workflows.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.podio.com/,https://developers.podio.com/doc,https://developers.podio.com/authentication,,https://developers.podio.com/ | https://developers.podio.com/authentication | https://developers.podio.com/doc | https://podio.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
7,Zoho CRM,CRM and Sales,"Zoho CRM is a CRM and sales platform for managing customer records, deals, and revenue workflows.",OAuth 2.0,OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, Webhooks",platform_level,"First-pass API surface classified as platform_level using discovered REST, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://www.zoho.com/crm/developer/docs/,https://www.zoho.com/crm/developer/docs/api/v8/,https://www.zoho.com/accounts/protocol/oauth.html,,https://www.zoho.com/accounts/protocol/oauth.html | https://www.zoho.com/crm/developer/docs/ | https://www.zoho.com/crm/developer/docs/api/v8/ | https://zoho.com/,buildable_with_caveats; primary blocker is admin_setup_required.
8,Close,CRM and Sales,"Close is a CRM and sales platform for managing customer records, deals, and revenue workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developer.close.com/,https://developer.close.com/,https://developer.close.com/topics/authentication/,,https://close.com/ | https://developer.close.com/ | https://developer.close.com/topics/authentication/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
9,Copper,CRM and Sales,"Copper is a CRM and sales platform for managing customer records, deals, and revenue workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developer.copper.com/,https://developer.copper.com/,,,https://copper.com/ | https://developer.copper.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
10,DealCloud,CRM and Sales,"DealCloud is a CRM and sales platform for managing customer records, deals, and revenue workflows.",unclear,unclear,unclear,self_serve_paid_plan_required,"Likely self-serve API access, but useful access may depend on a paid plan or commercial account.",yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_with_caveats,paid_plan_required,6,medium,0.68,not_checked,unclear,https://api.docs.dealcloud.com/,https://api.docs.dealcloud.com/,,,https://api.docs.dealcloud.com/ | https://dealcloud.com/,buildable_with_caveats; primary blocker is paid_plan_required.
11,Zendesk,Support and Helpdesk,"Zendesk is a customer support platform for managing conversations, tickets, and service workflows.",OAuth 2.0,OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,high,0.82,pass,no,https://developer.zendesk.com/,https://developer.zendesk.com/api-reference/,https://developer.zendesk.com/documentation/api-basics/authentication/,,https://developer.zendesk.com/ | https://developer.zendesk.com/api-reference/ | https://developer.zendesk.com/documentation/api-basics/authentication/ | https://zendesk.com/,buildable_with_caveats; primary blocker is admin_setup_required.
12,Intercom,Support and Helpdesk,"Intercom is a customer support platform for managing conversations, tickets, and service workflows.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://developers.intercom.com/,https://developers.intercom.com/docs/references/rest-api/api.intercom.io/,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication/,,https://developers.intercom.com/ | https://developers.intercom.com/docs/build-an-integration/learn-more/authentication/ | https://developers.intercom.com/docs/references/rest-api/api.intercom.io/ | https://intercom.com/,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
